ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
5053,EASY BREATHE INDIA SMART COOKSTOVE PROGRAM,EVI Green Markets Pte. Ltd.,Energy demand,,VMR0006,Registered,India,"1,720",Asia,2025-04-23,2023-05-29,2030-05-28
4984,CLEAN BIO-ENERGY INITIATIVE IN  MADHYA PRADESH AND MAHARASHTRA,Ecological Restoration Organization,Energy industries (renewable/non-renewable sources),,AMS-I.E.,Registered,India,"28,895",,2025-05-01,2022-09-09,2032-09-08
4982,RBML (Reliance BP Mobility Limited) EV Charging Infrastructure Project,Reliance BP Mobility Limited,Energy industries (renewable/non-renewable sources); Transport,,VM0038,Registered,India,"1,068,196",Asia,2025-04-16,2022-03-24,2032-03-23
4775,Grouped Solar Power Project by Indospace Development Management Pvt. Ltd.,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registered,India,"8,233",Asia,2024-11-22,2022-04-27,2029-04-26
4731,"Biogas based Poultry Waste Management Project at Siddipet District, Telangana State, India",Sunmax Hatcheries Private Limited,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.F.; AMS-III.D.,Registered,India,"26,608",Asia,2024-09-15,2024-01-28,2031-01-27
4717,Bundled Solar Power Project by AMP Energy - 02,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registered,India,"17,148",Asia,2024-11-22,2022-01-10,2029-01-09
4661,SMG - Cookstove Program 20,Shri Maa Marketing Private Limited,Energy demand,,VMR0006,Registered,India,"53,826",Asia,2024-11-07,2023-01-01,2029-12-31
4662,SMG - Cookstove Program 21,Shri Maa Marketing Private Limited,Energy demand,,VMR0006,Registered,India,"113,183",Asia,2025-01-28,2023-01-01,2029-12-31
4663,SMG Cookstove Program 22,Shri Maa Marketing Private Limited,Energy demand,,VMR0006,Registered,India,"105,045",Asia,2025-02-28,2023-01-01,2029-12-31
4649,CBG Plant at Sainsons,Multiple Proponents,Transport; Waste handling and disposal,,AMS-III.H.; AMS-III.AQ,Registered,India,"30,091",Asia,2024-12-04,2022-04-01,2029-03-31
4589,Biogas-based Manure Management Program,Dugdh Utpadak Sahkari Sangh Limited (DUSSL),Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.C.; AMS-III.D.,Registered,India,"11,715",Asia,2025-02-05,2023-03-31,2030-03-30
4564,"7.5 MW Waste-to-Energy Power Plant by Goodwatts WTE Jamnagar Private Limited in Gujarat, India",Goodwatts WTE Jamnagar Private Limited,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.E.,Registered,India,"46,759",Asia,2024-11-07,2021-11-15,2028-11-14
4493,Varanasi Smart City Bio-Conversion Project,Gobardhan Varanasi Foundation SPV,Transport; Waste handling and disposal,,AMS-III.D.; AMS-III.AO.,Registered,India,"4,741",Asia,2025-01-13,2022-06-16,2029-06-15
4477,Reduction of GHG emission by energy efficient led lights installation in Ghaziabad Nagar Nigam,Multiple Proponents,Energy demand,,AMS-II.C.,Registered,India,"27,001",Asia,2025-04-27,2021-12-27,2031-12-26
4457,Tramontana ICS-01 - The Distribution of Improved Cookstoves to Indigenous Communities across Rural India,Tramontana Impact Limited,Energy demand,,VMR0006,Registered,India,"1,310,160",Asia,2024-08-01,2023-01-21,2030-01-20
4413,Household Biogas Program for Smallholder Farmers in India by SPEF and NDDB,EKI Energy Services Limited,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management",,AMS-I.E.; AMS-III.R.,Registered,India,"12,319",Asia,2024-05-10,2021-08-13,2028-08-12
4382,MSW to Compost through BSF Rearing process,Ento Proteins Private Limited,Waste handling and disposal,,AMS-III.F.,Registered,India,"43,793",Asia,2024-12-13,2021-12-09,2028-12-08
4368,"Waste to Energy Project in Chennai, Tamil Nadu",Srinivas Waste Management Services Private Limited,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Registered,India,"28,918",Asia,2024-06-12,2021-11-15,2028-11-14
4334,"Biogas Project in Cuddalore, India",Global Carbon Solutions,Transport; Waste handling and disposal,,AMS-III.D.; AMS-III.AO.; AMS-III.AQ,Registered,India,"28,669",Asia,2024-10-04,2021-07-28,2028-07-27
4281,OKINAWA EV PROJECT IN INDIA,Okinawa Autotech Internationall Private Limited,Transport,,AMS-III.C.,Registered,India,"40,080",Asia,2024-12-17,2022-06-15,2029-06-14
4250,CLEAN COOKSTOVE FOR GARO COMMUNITIES,GHE Impact Ventures Private Limited,Energy demand,,VMR0006,Registered,India,"94,759",Asia,2024-05-08,2022-10-19,2029-10-18
4245,Biogas to electricity generation group project in India,EKI Energy Services Limited,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.F.; AMS-III.D.,Registered,India,"20,862",Asia,2024-07-03,2021-06-22,2028-06-21
4229,RENEW SAKHI - IMPROVED COOKSTOVES - 01,ReNew Power Synergy Private Limited,Energy demand,,VMR0006,Registered,India,"2,648,515",Asia,2024-02-16,2023-02-06,2030-02-05
4196,MicroEnergy Credits - Microfinance for Efficient Lighting Product Lines - India,MicroEnergy Credits Corp,Energy demand,,AMS-II.C.,Registered,India,"43,079",Asia,2024-03-12,2021-07-15,2028-07-14
4187,Floating Solar project of Greenam Energy,Greenam Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"36,376",Asia,2024-09-19,2022-01-12,2029-01-11
4071,Bundled Rooftop Solar Power Project by SPPL 01,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registered,India,"13,735",Asia,2025-02-05,2023-01-05,2030-01-04
4048,Smart Cookstove Program by Tata Communications,Tata Communications Limited,Energy demand,,VMR0006,Registered,India,"49,082",Asia,2024-10-21,2022-12-24,2029-12-23
4025,"Strengthening rural livelihoods of smallholder farmers in tribal districts of Odisha,India",Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,India,"159,512",Asia,2025-04-24,2020-06-01,2050-05-31
4003,Bundled Solar Power Project by AMP Energy - 01,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registered,India,"13,207",Asia,2023-08-18,2021-03-05,2028-03-04
3954,SUSTAINABLE CHARCOAL AND IMPROVED COOKSTOVE INITIATIVE USING MICRO-GASIFIER IN INDIA,"ECONEXUS Carbon Credit Co., Ltd.,",Chemical industry; Energy demand; Energy industries (renewable/non-renewable sources),,VMR0006; AMS-III.BG,Registered,India,"3,206,158",Asia,2024-05-14,2022-09-10,2029-09-09
3949,Waste Management Project-1 by GLOBAL CARBON SOLUTIONS,Global Carbon Solutions,Transport; Waste handling and disposal,,AMS-III.D.; AMS-III.AO.; AMS-III.AQ,Registered,India,"35,936",Asia,2024-12-02,2021-02-24,2028-02-23
3892,RESTORATION OF HOMESTEAD LAND OF POOR RURAL COMMUNITIES IN ASSAM & MEGHALAYA,Multiple Proponents,Agriculture Forestry and Other Land Use,ALM; ARR,AR-ACM0003,Registered,India,"170,282",Asia,2024-08-21,2024-01-01,2043-12-31
3889,Household Biogas Project in Madhya Pradesh & Jharkhand,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.E.,Registered,India,"30,154",Asia,2023-05-30,2021-03-01,2031-02-28
