CDM project reference number,Unique project identifier (traceable with Google),Registration project title,Type of CDM project: PA/PoA,Project classification,Sectoral scope number(s),Methodologies used at registration,Project type (UNEP DTU),Project subtype (UNEP DTU),DOE,Start of validation,PA:Initial registration request/PoA:First CPA request,PA:Lastest registration request/PoA:Lastest CPA request,"Date of EB decision (see EB59 Annex 12, §25)",Registered or rejected,Simplified project status,Website project status,Type of crediting period,Start of first crediting period,End of first crediting period, Amount Of Reductions (PDD ex-ante) per year in CP1 (PoA based on the sum of curr ,Status of the second CP request,Second crediting period: renew date,Second crediting period: renewed date, Amount Of Reductions (PDD ex-ante) per year in CP2 ,Start of Second crediting period,End of second crediting period,Status of the third CP request,Third crediting period: renew date,Third crediting period: renewed date, Amount Of Reductions (PDD ex-ante) per year in CP3 ,Start of third crediting period,End of third crediting period,List of host countries (ISO 2),UNFCCC region,LDC country,Country Region,SID country,Country subregion,First issuance,Lastest issuance, Total CERs issued , Count of issuances of CER , Count of issuances of CER for KP1 , Total CERs issued for KP1 , Count of issuances of CER for KP2 , Total CERs issued for KP2 , Installed capacity (MW elec/thermal) ,Kind of additional revenue, Total capital investment (USD) , Total O&M costs (USD/year) , Additional revenue (USD) , Estimated IRR benchmark , Estimated IRR excluding CERs , Estimated IRR including CERs ,Issuance (Para 218)/ Registration (Para 219),Last information provided on para. 218 and 219 of the PCP,Date of last information provided on Para. 218 and 219 of the PCP,Number of CPAs per host party (PoA),Amount of reduction per host party (PoA),Crediting type of the CPAs,Chronological number of registered CDM activity by country,Last communication with the Secretariat,Projects which cannot be renewed,Reporting date
1,AuxID,"Project for GHG emission reduction by thermal oxidation of HFC 23 in Gujarat, India.",PA,LARGE,11,AM0001 2.0,HFCs,HFC23,SGS United Kingdom Limited (SGS),01-12-03,17-08-04,17-08-04,08-03-05,08-03-05,End of crediting period,Registered,Fixed,13-02-06,12-02-16,"3,000,000",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,10-04-06,13-10-22,"56,704,038",48,45,"54,324,557",3,"2,379,481",,None,,,,,,,,,,,,,IN(1),2022m10,No,10-Oct-24
35,CNTM2YBKC54DXJ6C8V9GYCJ03I1Z3X,"5 MW Dehar Grid-connected SHP in Himachal Pradesh, India",PA,SMALL,1,AMS-I.D. 11.0,Hydro,Run of river,Det Norske Veritas- CUK,12-11-04,08-06-05,08-06-05,18-07-05,18-07-05,End of crediting period,Registered,Renewable,01-08-04,31-07-11,"16,374",Renewed,26-12-11,26-12-11,"16,243.00",01-08-11,31-07-18,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,04-10-07,11-12-12,"104,874",6,6,"104,874",, -   ,5,None,"17,250,000",,,,,,,,,,,,IN(3),2023m10,Yes,10-Oct-24
58,NMHQDVVH5DX47Y8VGVARMLMF76RWAP,Biomass in Rajasthan - Electricity generation from mustard crop residues,PA,SMALL,1,AMS-I.D. 11.0,Biomass Energy,Agricultural residues: mustard crop,TÜV SÜD South Asia Private Limited (TÜV SÜD),14-11-04,06-04-05,06-04-05,23-05-05,23-05-05,End of crediting period,Registered,Fixed,01-08-03,31-07-13,"31,374",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,21-10-05,18-11-14,"339,755",8,8,"319,047",1,"20,708",7.8,None,"1,800,000",,,,11.5,14.1,,,,,,,IN(2),2014m11,No,10-Oct-24
75,1IU1ZYLCCYYWNOOG3ST7B1M3SYZHGH,Clarion 12MW (Gross) Renewable Sources Biomass Power Project,PA,SMALL,1,AMS-I.D. 11.0,Biomass Energy,Agricultural residues: rice husk,TÜV Rheinland (China) Ltd. (TÜV Rheinland),15-08-04,24-06-05,24-06-05,06-08-05,06-08-05,End of crediting period,Registered,Renewable,21-02-04,20-02-11,"26,300",Renewed,16-07-13,16-07-13,"45,903.00",21-02-11,20-02-18,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,05-10-06,11-05-12,"266,948",6,6,"266,948",, -   ,12,None,"10,300,000",,,,,,,,,,,,IN(4),2013m7,Yes,10-Oct-24
80,NCRD81Z85FFX4VNGYRS14CI8MDZ77U,SRS Bagasse Cogeneration Project,PA,SMALL,1,AMS-I.D. 11.0,Biomass Energy,Bagasse power,KPMG,14-01-05,23-07-05,23-07-05,23-09-05,23-09-05,End of crediting period,Registered,Fixed,15-09-03,14-09-13,"22,000",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,25-07-06,25-07-06,"12,680",1,1,"12,680",, -   ,9.3,None,,,,,9.95,17.29,,,,,,,IN(5),2006m7,No,10-Oct-24
82,IEZBVIEO5NOCKAD3V0JX4JE0JOM6V1,APCL proposed 7.5 MW Mustard Crop Residue based Power Project,PA,SMALL,1,AMS-I.D. 11.0,Biomass Energy,Agricultural residues: mustard crop,SGS United Kingdom Limited (SGS),07-03-05,03-08-05,03-08-05,24-10-05,24-10-05,End of crediting period,Registered,Renewable,01-09-05,31-08-12,"40,313",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,7.5,None,,,,,,,,,,,,,IN(7),2005m10,Yes,10-Oct-24
87,U19KFPIXQID0D01K0KQLELAOAPV0YM,"20 MW Kabini Hydro Electric Power Project, SKPCL, India",PA,LARGE,1,ACM0002 2.0,Hydro,Existing dam,SGS United Kingdom Limited (SGS),31-05-05,18-10-05,18-10-05,25-12-05,25-12-05,End of crediting period,Registered,Fixed,24-06-03,23-06-13,"44,968",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,20-09-06,05-08-11,"302,646",4,4,"302,646",, -   ,20,None,,,,,,,,,,,,,IN(17),2011m8,No,10-Oct-24
95,ZC1N1RB07AJD8VY89BQ7ZKRSBN738V,DSL Biomass based Power Project at Pagara,PA,SMALL,1,AMS-I.D. 11.0,Biomass Energy,Agricultural residues: rice husk,TÜV SÜD South Asia Private Limited (TÜV SÜD),28-05-05,14-09-05,14-09-05,23-10-05,23-10-05,End of crediting period,Registered,Fixed,01-06-04,31-05-14,"17,424",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,19-06-06,12-01-12,"81,903",7,7,"81,903",, -   ,3,None,"2,200,000",,,,,,,,,,,,IN(6),2012m1,No,10-Oct-24
98,LGXT519BVS0BB92E47R7ASLJ5LW7DB,"4.5 MW Maujhi Grid-connected SHP in Himachal Pradesh, India",PA,SMALL,1,AMS-I.D. 11.0,Hydro,Run of river,Det Norske Veritas- CUK,27-11-04,23-09-05,23-09-05,06-11-05,06-11-05,End of crediting period,Registered,Fixed,01-07-04,30-06-14,"13,168",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,30-01-08,18-07-13,"36,512",4,4,"36,512",, -   ,4.5,None,"6,394,312",,,,,,Issuance Process,The verification contract has been terminated,13-10-14,,,,IN(8),2014m10,No,10-Oct-24
103,HBIFUQOMGJJY0CPPHQIMZ3QSLNSBHI,"10.25MW Chunchi Doddi Grid-connected SHP in Karnataka, India",PA,SMALL,1,AMS-I.D. 5.0,Hydro,Run of river,TÜV SÜD South Asia Private Limited (TÜV SÜD),31-12-04,07-10-05,07-10-05,16-12-05,16-12-05,End of crediting period,Registered,Renewable,01-01-05,31-12-11,"25,490",Renewed,13-10-12,15-10-12,"21,216.00",01-01-12,31-12-18,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,08-11-06,11-01-13,"183,462",6,6,"183,462",, -   ,10.25,None,"34,500,000",,,,,,Issuance Process,Corrective actions without response,20-09-24,,,,IN(12),2024m9,Yes,10-Oct-24
