ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,Total_Actual_VCUs_Issued,Actual_Issuance_Start_Date,Actual_Issuance_End_Date,t_actual_days,t_actual_years,Total_Estimated_ERs_Actual_Period,q_quotient,log_q_success_indicator,Regime,Technology_Category,Tech_Biomass and Waste,Tech_Energy Efficiency,Tech_Hydro,Tech_Industrial Gases,Tech_Other,Tech_Other Renewable,Tech_Solar,Scale_Category,Scale_Large,Is_International
1,"Project for GHG emission reduction by thermal oxidation of HFC 23 in Gujarat, India.",SGS United Kingdom Limited (SGS),HFCs: HFC23,,AM0001 2.0,Registered,India,3000000,ASP,2005-03-08,2006-02-13,2016-02-12,56704038.0,2006-04-10,2022-10-13,6030.0,16.50924024640657,49527720.73921971,1.1448949629353233,0.13531289737058608,CDM,Industrial Gases,False,False,False,True,False,False,False,LARGE,1,1
35,"5 MW Dehar Grid-connected SHP in Himachal Pradesh, India",Det Norske Veritas- CUK,Hydro: Run of river,,AMS-I.D. 11.0,Registered,India,16374,ASP,2005-07-18,2004-08-01,2011-07-31,104874.0,2007-10-04,2012-12-11,1895.0,5.188227241615332,84952.03285420944,1.2345084217111046,0.2106728517410303,CDM,Hydro,False,False,True,False,False,False,False,SMALL,0,1
58,Biomass in Rajasthan - Electricity generation from mustard crop residues,TÜV SÜD South Asia Private Limited (TÜV SÜD),Biomass Energy: Agricultural residues: mustard crop,,AMS-I.D. 11.0,Registered,India,31374,ASP,2005-05-23,2003-08-01,2013-07-31,339755.0,2005-10-21,2014-11-18,3315.0,9.075975359342916,284749.65092402464,1.1931709095954313,0.17661439320321937,CDM,Biomass and Waste,True,False,False,False,False,False,False,SMALL,0,1
75,Clarion 12MW (Gross) Renewable Sources Biomass Power Project,TÜV Rheinland (China) Ltd. (TÜV Rheinland),Biomass Energy: Agricultural residues: rice husk,,AMS-I.D. 11.0,Registered,India,26300,ASP,2005-08-06,2004-02-21,2011-02-20,266948.0,2006-10-05,2012-05-11,2045.0,5.598904859685147,147251.19780971936,1.8128748965760875,0.5949139258486098,CDM,Biomass and Waste,True,False,False,False,False,False,False,SMALL,0,1
80,SRS Bagasse Cogeneration Project,KPMG,Biomass Energy: Bagasse power,,AMS-I.D. 11.0,Registered,India,22000,ASP,2005-09-23,2003-09-15,2013-09-14,12680.0,2006-07-25,2006-07-25,0.0,,,,,CDM,Biomass and Waste,True,False,False,False,False,False,False,SMALL,0,1
82,APCL proposed 7.5 MW Mustard Crop Residue based Power Project,SGS United Kingdom Limited (SGS),Biomass Energy: Agricultural residues: mustard crop,,AMS-I.D. 11.0,Registered,India,40313,ASP,2005-10-24,2005-09-01,2012-08-31,,,,,,,,,CDM,Biomass and Waste,True,False,False,False,False,False,False,SMALL,0,1
87,"20 MW Kabini Hydro Electric Power Project, SKPCL, India",SGS United Kingdom Limited (SGS),Hydro: Existing dam,,ACM0002 2.0,Registered,India,44968,ASP,2005-12-25,2003-06-24,2013-06-23,302646.0,2006-09-20,2011-08-05,1780.0,4.87337440109514,219145.90006844627,1.3810251522181067,0.32282608730844414,CDM,Hydro,False,False,True,False,False,False,False,LARGE,1,1
95,DSL Biomass based Power Project at Pagara,TÜV SÜD South Asia Private Limited (TÜV SÜD),Biomass Energy: Agricultural residues: rice husk,,AMS-I.D. 11.0,Registered,India,17424,ASP,2005-10-23,2004-06-01,2014-05-31,81903.0,2006-06-19,2012-01-12,2033.0,5.566050650239562,96982.86652977414,0.8445099936786818,-0.16899870896335215,CDM,Biomass and Waste,True,False,False,False,False,False,False,SMALL,0,1
98,"4.5 MW Maujhi Grid-connected SHP in Himachal Pradesh, India",Det Norske Veritas- CUK,Hydro: Run of river,,AMS-I.D. 11.0,Registered,India,13168,ASP,2005-11-06,2004-07-01,2014-06-30,36512.0,2008-01-30,2013-07-18,1996.0,5.464750171115674,71959.8302532512,0.5073941930032604,-0.6784670764956494,CDM,Hydro,False,False,True,False,False,False,False,SMALL,0,1
103,"10.25MW Chunchi Doddi Grid-connected SHP in Karnataka, India",TÜV SÜD South Asia Private Limited (TÜV SÜD),Hydro: Run of river,,AMS-I.D. 5.0,Registered,India,25490,ASP,2005-12-16,2005-01-01,2011-12-31,183462.0,2006-11-08,2013-01-11,2256.0,6.176591375770021,157441.31416837784,1.1652722855437676,0.15295478120584607,CDM,Hydro,False,False,True,False,False,False,False,SMALL,0,1
