ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,Total_Actual_VCUs_Issued,Actual_Issuance_Start_Date,Actual_Issuance_End_Date,t_actual_days,t_actual_years,Total_Estimated_ERs_Actual_Period,q_quotient,log_q_success_indicator,Regime,Technology_Category,Tech_Biomass and Waste,Tech_Energy Efficiency,Tech_Other_Renewable,Scale_Category,Scale_Large,Is_International,Tech_Hydro,Tech_Industrial Gases,Tech_Other,Tech_Solar,Is_CDM
4493,Varanasi Smart City Bio-Conversion Project,Gobardhan Varanasi Foundation SPV,Transport; Waste handling and disposal,,AMS-III.D.; AMS-III.AO.,Registered,India,4741,Asia,13-01-25,16-06-22,15-06-29,2.0,01-01-23,30-06-23,180.0,0.492813142,2336.427105,0.000856008,-7.063230983,VCS,Biomass and Waste,True,False,False,Small Scale,0,0,,,,,0
4413,Household Biogas Program for Smallholder Farmers in India by SPEF and NDDB,EKI Energy Services Limited,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management",,AMS-I.E.; AMS-III.R.,Registered,India,12319,Asia,10-05-24,13-08-21,12-08-28,3.0,01-01-22,31-01-23,395.0,1.081451061,13322.39562,0.000225185,-8.398589491,VCS,Other Renewable,False,False,True,Small Scale,0,0,,,,,0
4382,MSW to Compost through BSF Rearing process,Ento Proteins Private Limited,Waste handling and disposal,,AMS-III.F.,Registered,India,43793,Asia,13-12-24,09-12-21,08-12-28,2.0,12-09-21,31-12-22,475.0,1.300479124,56951.88227,3.51e-05,-10.25681484,VCS,Biomass and Waste,True,False,False,Small Scale,0,0,,,,,0
4334,"Biogas Project in Cuddalore, India",Global Carbon Solutions,Transport; Waste handling and disposal,,AMS-III.D.; AMS-III.AO.; AMS-III.AQ,Registered,India,28669,Asia,04-10-24,28-07-21,27-07-28,13345.0,01-01-22,30-04-23,484.0,1.325119781,37989.859,0.351277956,-1.046177473,VCS,Biomass and Waste,True,False,False,Small Scale,0,1,,,,,0
4250,CLEAN COOKSTOVE FOR GARO COMMUNITIES,GHE Impact Ventures Private Limited,Energy demand,,VMR0006,Registered,India,94759,Asia,08-05-24,19-10-22,18-10-29,11376.0,01-01-23,30-04-23,119.0,0.325804244,30872.88433,0.368478691,-0.998372396,VCS,Energy Efficiency,False,True,False,Large Scale,1,0,,,,,0
4229,RENEW SAKHI - IMPROVED COOKSTOVES - 01,ReNew Power Synergy Private Limited,Energy demand,,VMR0006,Registered,India,2648515,Asia,16-02-24,06-02-23,05-02-30,205769.0,02-06-23,30-06-24,394.0,1.07871321,2856988.118,0.072023051,-2.630769063,VCS,Energy Efficiency,False,True,False,Large Scale,1,0,,,,,0
4196,MicroEnergy Credits - Microfinance for Efficient Lighting Product Lines - India,MicroEnergy Credits Corp,Energy demand,,AMS-II.C.,Registered,India,43079,Asia,12-03-24,15-07-21,14-07-28,35307.0,01-01-22,31-03-23,454.0,1.242984257,53546.51882,0.659370595,-0.416469542,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
4187,Floating Solar project of Greenam Energy,Greenam Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,36376,Asia,19-09-24,12-01-22,11-01-29,2.0,01-12-22,28-02-23,89.0,0.24366872,8863.693361,0.00022564,-8.396571634,VCS,Other,False,False,False,Large Scale,1,0,,,,,0
3954,SUSTAINABLE CHARCOAL AND IMPROVED COOKSTOVE INITIATIVE USING MICRO-GASIFIER IN INDIA,"ECONEXUS Carbon Credit Co., Ltd.,",Chemical industry; Energy demand; Energy industries (renewable/non-renewable sources),,VMR0006; AMS-III.BG,Registered,India,3206158,Asia,14-05-24,10-09-22,09-09-29,3444.0,09-10-22,31-12-22,83.0,0.227241615,728572.5229,0.004727052,-5.354453585,VCS,Energy Efficiency,False,True,False,Small Scale,0,1,,,,,0
3949,Waste Management Project-1 by GLOBAL CARBON SOLUTIONS,Global Carbon Solutions,Transport; Waste handling and disposal,,AMS-III.D.; AMS-III.AO.; AMS-III.AQ,Registered,India,35936,Asia,02-12-24,24-02-21,23-02-28,24823.0,01-01-22,30-11-22,333.0,0.911704312,32763.00616,0.757653308,-0.277529375,VCS,Biomass and Waste,True,False,False,Small Scale,0,1,,,,,0
3889,Household Biogas Project in Madhya Pradesh & Jharkhand,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.E.,Registered,India,30154,Asia,30-05-23,01-03-21,28-02-31,30821.0,03-01-21,30-09-22,635.0,1.73853525,52423.79192,0.587920081,-0.531164257,VCS,Other Renewable,False,False,True,Small Scale,0,0,,,,,0
3769,SMG - Cookstove Program 1,Shri Maa Marketing Private Limited,Energy demand,,VMR0006,Registered,India,83186,Asia,18-12-23,01-11-22,31-10-29,47369.0,11-01-22,30-04-23,474.0,1.297741273,107953.9055,0.438789127,-0.823736329,VCS,Energy Efficiency,False,True,False,Large Scale,1,0,,,,,0
3689,Biodiesel Project by Rajputana Biodiesel Private Limited,Rajputana Biodiesel Private Limited,Chemical industry; Transport,,AMS-III.AK,Registered,India,126559,Asia,17-05-24,15-12-20,14-12-27,7121.0,01-01-21,31-08-22,607.0,1.661875428,210325.2923,0.033857079,-3.385607178,VCS,Other Renewable,False,False,True,Small Scale,0,0,,,,,0
3657,Grouped Commercial Vehicle EV Project in India,Multiple Proponents,Transport,,AMS-I.F.; AMS-III.C.,Registered,India,7052,Asia,05-09-23,23-03-21,22-03-31,65.0,01-01-22,30-09-22,272.0,0.744695414,5251.59206,0.012377199,-4.391899289,VCS,Other Renewable,False,False,True,Small Scale,0,0,,,,,0
3544,Solid Waste to Energy Production Facility Sonepat,JBM Environment Management Pvt Ltd,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Registered,India,152616,Asia,10-06-24,13-08-21,12-08-31,2.0,01-01-22,31-10-22,303.0,0.829568789,126605.4702,1.58e-05,-11.05568382,VCS,Biomass and Waste,True,False,False,Large Scale,1,0,,,,,0
3556,Grouped Rooftop Solar Project by Tata Power Renewable Energy Limited,Tata Power Renewable Energy Limited,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registered,India,17764,Asia,20-02-24,01-10-20,30-09-27,52309.0,10-01-20,31-01-24,1482.0,4.057494867,72077.33881,0.725734341,-0.320571252,VCS,Other Renewable,False,False,True,Small Scale,0,0,,,,,0
3534,7.81MW solar power project by AMPSolar Generation Private Limited,AMPSolar Generation Private Limited.,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registered,India,11212,Asia,06-06-24,26-12-20,25-12-27,2.0,01-01-21,31-10-22,668.0,1.828884326,20505.45106,9.75e-05,-9.235298855,VCS,Other Renewable,False,False,True,Small Scale,0,0,,,,,0
3286,Grouped Water Purification Project in India,Multiple Proponents,Energy demand,,AMS-III.AV.,Registered,India,23070,Asia,03-09-24,08-12-21,07-12-31,1537.0,12-08-21,23-07-23,710.0,1.943874059,44845.17454,0.034273476,-3.373383527,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
3282,Solid Waste Management Project at Moradabad,HARI BHARI MORADABAD WASTE MANAGEMENT PRIVATE LIMITED,Waste handling and disposal,,ACM0022,Registered,India,52510,Asia,05-07-24,01-09-20,31-08-30,38388.0,09-01-20,31-03-22,812.0,2.223134839,116736.8104,0.328842289,-1.112177006,VCS,Biomass and Waste,True,False,False,Large Scale,1,0,,,,,0
3240,The Core Carbon,Core CarbonX Solutions Private Limited,Energy demand,,VMR0006,Registered,India,250712,Asia,15-08-23,03-05-22,02-05-29,6000.0,05-03-22,31-12-22,301.0,0.824093087,206610.026,0.029040217,-3.539073615,VCS,Energy Efficiency,False,True,False,Large Scale,1,0,,,,,0
3161,Displacement of firewood by household biogas stoves in India,Greneity Infocom Service Pvt Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.E.,Registered,India,51409,Asia,10-01-23,01-09-20,31-08-30,127034.0,09-01-20,31-07-23,1299.0,3.556468172,182834.4723,0.694803329,-0.364126453,VCS,Other Renewable,False,False,True,Small Scale,0,0,,,,,0
3109,Biomass Cookstove Project in Jharkhand,Fair Climate Fund India Private Limited,Energy demand,,VMR0006,Registered,India,13957,Asia,22-12-22,01-09-20,31-08-30,14389.0,09-01-20,31-03-23,1177.0,3.222450376,44975.7399,0.319928033,-1.139659205,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
3095,Biodiesel Project by Kotyark Industries Limited,Kotyark Industries Limited,Chemical industry,,ACM0017,Registered,India,270014,Asia,01-03-24,15-09-20,14-09-27,1000.0,01-01-21,31-12-21,364.0,0.996577687,269089.9274,0.00371623,-5.595045627,VCS,Other,False,False,False,Large Scale,1,0,,,,,0
3059,"Replacement of ICLs with LED lamps in Gujarat, India",AGS Carbon Advisory,Energy demand,,AMS-II.C.,Registered,India,53799,Asia,05-01-23,02-06-22,01-06-32,94817.0,06-02-22,01-06-24,846.0,2.316221766,124610.4148,0.760907507,-0.273243471,VCS,Energy Efficiency,False,True,False,Small Scale,0,1,,,,,0
2960,Changing Lives via Improved Cooking Initiative - India,Multiple Proponents,Energy demand,,VMR0006,Registered,India,3972774,Asia,22-02-24,03-08-23,02-08-30,101875.0,08-03-23,30-06-24,480.0,1.314168378,5220893.963,0.019512942,-3.936677352,VCS,Energy Efficiency,False,True,False,Large Scale,1,0,,,,,0
2939,Global Cookstove Program (EKI Phase 01),EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,190438,Asia,01-02-23,21-12-21,20-12-28,312444.0,01-01-22,31-12-23,729.0,1.995893224,380093.9138,0.822017898,-0.195993111,VCS,Energy Efficiency,False,True,False,Large Scale,1,0,,,,,0
2941,Global Cookstove Program (EKI Phase 03),EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,376969,Asia,18-10-24,10-04-22,09-04-29,167800.0,04-10-22,15-02-23,134.0,0.366872005,138299.373,1.213309911,0.193352089,VCS,Energy Efficiency,False,True,False,Large Scale,1,0,,,,,0
2943,Global Cookstove Program (EKI Phase 05),EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,2295219,Asia,21-10-24,01-10-22,30-09-29,75001.0,10-01-22,30-04-23,475.0,1.300479124,2984884.394,0.025126936,-3.683814849,VCS,Energy Efficiency,False,True,False,Large Scale,1,0,,,,,0
2944,Clean Cookstoves for Rural India,EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,714414,Asia,04-01-24,11-05-22,10-05-29,870015.0,05-11-22,31-12-23,421.0,1.152635181,823458.7105,1.056537491,0.054997044,VCS,Energy Efficiency,False,True,False,Large Scale,1,0,,,,,0
2922,Improved Cookstoves for Communities,Outreach Projects Pvt. Ltd.,Energy demand,,VMR0006,Registered,India,449956,,10-01-24,20-11-21,19-11-28,1162.0,01-01-22,31-12-22,364.0,0.996577687,448416.1095,0.002591343,-5.955578959,VCS,Energy Efficiency,False,True,False,Large Scale,1,0,,,,,0
2908,Biomass Cookstove Project in Meghalaya,Multiple Proponents,Energy demand,,VMR0006,Registered,India,44163,Asia,30-05-23,01-04-21,31-03-31,5000.0,04-01-21,31-12-21,361.0,0.988364134,43649.12526,0.114549833,-2.16674533,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
2868,Women led cleaner cooking initiative in Odisha,SDG 13 Ventures Pte. Ltd.,Energy demand,,VMR0006,Registered,India,1558866,Asia,20-06-23,01-06-22,31-05-32,591288.0,06-01-22,30-06-24,906.0,2.480492813,3866755.91,0.152915781,-1.87786796,VCS,Energy Efficiency,False,True,False,Large Scale,1,1,,,,,0
2833,Grouped Reforestation Project by Cropzone Agro Forestry Private Limited,CropZone Agro Forestry Private Limited,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,India,10673,Asia,12-09-23,04-06-17,03-06-17,22708.0,06-04-17,10-02-22,1771.0,4.848733744,51750.53525,0.438797394,-0.82371749,VCS,Other,False,False,False,Large Scale,1,0,,,,,0
2708,BluSmart EV Project in India,BluSmart Mobility Private Limited,Energy industries (renewable/non-renewable sources); Transport,,AMS-I.F.; AMS-III.C.,Registered,India,25251,Asia,17-07-22,05-02-20,04-02-30,3440.0,02-05-20,31-03-24,1429.0,3.912388775,98791.72895,0.034820729,-3.357542415,VCS,Other Renewable,False,False,True,Small Scale,0,0,,,,,0
2700,SHINE - Distribution of LED lightbulbs in India-6,Brightspark Energy Pvt. Ltd.,Energy demand,,AMS-II.C.,Registered,India,1141778,Asia,29-11-22,25-03-21,24-03-31,538063.0,01-01-22,31-05-22,150.0,0.410677618,468902.6694,1.147494001,0.137580435,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
2701,SHINE - Distribution of LED lightbulbs in India-7,Brightspark Energy Pvt. Ltd.,Energy demand,,AMS-II.C.,Registered,India,55903,Asia,29-11-22,14-12-21,13-12-31,40104.0,01-01-22,31-05-22,150.0,0.410677618,22958.11088,1.746833623,0.557804791,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
2695,SHINE - Distribution of LED lightbulbs in India-5,Brightspark Energy Pvt. Ltd.,Energy demand,,AMS-II.C.,Registered,India,952806,Asia,29-11-22,19-03-21,18-03-31,391939.0,01-01-22,31-05-22,150.0,0.410677618,391296.0986,1.001643005,0.001641657,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
2664,Installation of High Efficient Cook Stoves by EKI Energy Services Limited,EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,211856,Asia,23-11-22,15-02-20,14-02-27,619982.0,01-01-21,31-12-22,729.0,1.995893224,422841.9548,1.466226312,0.382691965,VCS,Energy Efficiency,False,True,False,Large Scale,1,0,,,,,0
2657,SHINE – Distribution of LED Lightbulbs in India-3,Multiple Proponents,Energy demand,,AMS-II.C.,Registered,India,55046,Asia,29-11-22,06-03-20,05-03-30,982595.0,01-01-21,31-12-22,729.0,1.995893224,109865.9384,8.943581735,2.19093615,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
2608,SHINE - Distribution of LED lightbulbs in India-2,Multiple Proponents,Energy demand,,AMS-II.C.,Registered,India,55082,Asia,22-02-22,12-08-18,11-08-28,400944.0,01-01-21,31-12-22,729.0,1.995893224,109937.7906,3.647007985,1.293907101,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
2533,Improved Cookstove Programme by SDG13 in India,SDG 13 Ventures Pte. Ltd.,Energy demand,,VMR0006,Registered,India,1966523,Asia,02-07-22,01-01-22,31-12-31,1351304.0,01-01-22,31-12-23,729.0,1.995893224,3924969.93,0.344283911,-1.066288638,VCS,Energy Efficiency,False,True,False,Large Scale,1,1,,,,,0
2479,Mahogany Plantation in India,Mahogani Vishwa Agro Pvt Ltd,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,India,8446,Asia,20-11-23,28-06-19,27-06-49,3766.0,01-01-20,13-10-22,1016.0,2.7816564,23493.86995,0.160297133,-1.830726104,VCS,Other,False,False,False,Large Scale,1,0,,,,,0
2473,Installation of High Efficient Cook Stoves by Enking International,EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,86825,Asia,09-06-22,16-10-19,15-10-26,275987.0,01-01-20,30-06-22,911.0,2.494182067,216557.358,1.274429105,0.242498318,VCS,Energy Efficiency,False,True,False,Large Scale,1,0,,,,,0
2436,Distribution of Improved cook stove - Phase 8,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,12627,Asia,06-10-22,,,59479.0,11-01-12,31-10-17,2120.0,5.804243669,73290.1848,0.811554783,-0.208803386,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
2437,Distribution of Improved cook stove - Phase 9,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,13196,Asia,04-12-22,,,61474.0,11-08-12,07-11-17,1914.0,5.240246407,69150.29158,0.88899119,-0.117667954,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
2439,Distribution of Improved cook stove - Phase 18,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,12945,Asia,03-01-23,,,61178.0,10-06-12,05-10-17,1943.0,5.319644079,68862.79261,0.888404285,-0.118328364,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
2440,Distribution of Improved cook stove - Phase 20,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,12855,Asia,08-12-22,,,61485.0,10-07-12,06-10-17,1914.0,5.240246407,67363.36756,0.912736436,-0.091308119,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
2441,Distribution of Improved cook stove - Phase 22,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,12766,Asia,13-01-24,,,60865.0,10-08-12,07-10-17,1884.0,5.158110883,65848.44353,0.924319494,-0.078697494,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
2442,Distribution of Improved cook stove - Phase 24,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,12675,Asia,09-12-22,,,59605.0,10-09-12,08-10-17,1854.0,5.075975359,64337.98768,0.926435566,-0.076410782,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
2443,Distribution of Improved cook stove - Phase 25,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,12810,Asia,07-11-22,,,59165.0,10-04-12,03-10-17,2002.0,5.481177276,70213.8809,0.84263965,-0.171215874,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
2444,Distribution of Improved cook stove - Phase 17,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,12945,Asia,07-12-22,,,60070.0,10-02-12,01-10-17,2060.0,5.639972621,73009.44559,0.822770253,-0.195078275,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
2446,Distribution of Improved cook stove - Phase 23,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,12945,Asia,07-12-22,,,59873.0,10-03-12,02-10-17,2032.0,5.563312799,72017.08419,0.831372176,-0.184677719,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
2447,Distribution of Improved cook stove - Phase 21,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,13035,Asia,04-12-22,,,60747.0,10-03-12,02-10-17,2032.0,5.563312799,72517.78234,0.837684193,-0.177114107,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
2448,Distribution of Improved cook stove - Phase 19,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,12900,Asia,06-02-23,,,60086.0,10-02-12,01-10-17,2060.0,5.639972621,72755.64682,0.825860296,-0.191329653,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
2425,Distribution of Improved cook stove - Phase IV,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,12909,Asia,30-09-22,,,60215.0,10-04-12,03-10-17,2002.0,5.481177276,70756.51745,0.851017011,-0.161323161,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
2426,Distribution of improved cook stove- phase V,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,13062,Asia,30-09-22,,,61959.0,10-01-12,30-09-17,2090.0,5.722108145,74742.17659,0.828969704,-0.18757167,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
2428,Distribution of Improved cook stove - Phase 14,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,13050,Asia,07-12-22,,,61559.0,10-04-12,03-10-17,2002.0,5.481177276,71529.36345,0.860611601,-0.150111978,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
2429,Distribution of Improved cook stove- Phase 15,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,12843,Asia,31-07-23,,,58532.0,10-01-12,30-09-17,2090.0,5.722108145,73489.03491,0.796472563,-0.227562597,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
2430,Distribution of Improved cook stove - Phase 16,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,12945,Asia,07-11-22,,,61240.0,10-05-12,04-10-17,1973.0,5.401779603,69926.03696,0.875782508,-0.132637498,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
2416,Distribution of Improved cook stove - Phase 12,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,13930,Asia,13-12-22,,,60203.0,10-01-12,30-09-17,2090.0,5.722108145,79708.96646,0.755285166,-0.280659897,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
2417,Distribution of Improved cook stove - Phase 13,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,13420,Asia,07-12-22,,,60837.0,10-03-12,02-10-17,2032.0,5.563312799,74659.65777,0.81485774,-0.204741733,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
2336,Energy Efficient Cook Stove Implementation in India,Enen Green Services Private Limited,Energy demand,,VMR0006,Registered,India,55890,Asia,07-12-21,28-06-19,27-06-29,104799.0,01-01-20,31-03-22,820.0,2.245037645,125475.154,0.835217146,-0.180063533,VCS,Energy Efficiency,False,True,False,Small Scale,0,0,,,,,0
51,29.70 MW Wind Power project in Karnataka India,ACCIONA WIND ENERGY PVT. LTD.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,88240,Asia,06-04-20,,,553366.0,06-06-08,31-05-18,3646.0,9.98220397,880829.6783,0.628232692,-0.464844652,VCS,Other,False,False,False,Large Scale,1,0,,,,,0
68,"119.8 MW Natural Gas based Combined Cycle Power Plant, at Tanjavur, Tamilnadu by M/s Aban  Power Company Limited",Lanco Tanjore Power Company Limited,Energy industries (renewable/non-renewable sources),,AM0029,Registered,India,181153,Asia,06-04-20,,,1377928.0,08-11-05,10-08-15,3562.0,9.752224504,1766644.726,0.779968932,-0.248501191,VCS,Other,False,False,False,Large Scale,1,0,,,,,0
117,"Waste heat recovery based power plant at Hindustan Zinc Limited, Chanderia",Hindustan Zinc Limited,Energy industries (renewable/non-renewable sources),,ACM0012,Registered,India,51609,Asia,06-04-20,,,131252.0,07-01-05,30-06-15,3826.0,10.47501711,540605.1581,0.242787177,-1.415570036,VCS,Other,False,False,False,Large Scale,1,0,,,,,0
132,"9 MW Neria Hyrdroelectric project, Karnataka, India",Bhoruka Power Corporation Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,18663,Asia,29-08-09,,,95159.0,09-01-11,26-07-16,2025.0,5.544147844,103470.4312,0.919673368,-0.083736706,VCS,Other Renewable,False,False,True,Small Scale,0,0,,,,,0
255,"7.2 MW Nargund wind project for Grid system by Bhoruka Power Corporation Limited in Karnataka State, India.",Bhoruka Power Corporation Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,18416,Asia,06-04-20,29-09-17,28-09-27,151981.0,01-01-08,28-09-17,3558.0,9.741273101,179395.2854,0.847185029,-0.165836157,VCS,Other Renewable,False,False,True,Small Scale,0,0,,,,,0
265,"4.5 MW Grouped Small Hydropower Projects for Grid system by Bhoruka Power Corporation Limited in Karnataka State, India.",Bhoruka Power Corporation Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,16867,Asia,06-04-20,,,79730.0,04-01-06,29-02-16,3708.0,10.15195072,171232.9528,0.465622993,-0.764379,VCS,Other Renewable,False,False,True,Small Scale,0,0,,,,,0
268,2.5 MW WINDPOWERGENERATION PROJECT OF C.J.SHAH & CO,C . J . SHAH & CO,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,3697,Asia,06-01-10,,,35231.0,08-01-09,27-03-16,2635.0,7.214236824,26671.03354,1.320946185,0.278348287,VCS,Other Renewable,False,False,True,Small Scale,0,0,,,,,0
269,6.25 MW Wind Power Generation project of Salora International Limited,Salora International Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,9440,Asia,06-01-10,,,73211.0,01-01-07,30-07-16,3498.0,9.577002053,90406.89938,0.809794391,-0.210974902,VCS,Other Renewable,False,False,True,Small Scale,0,0,,,,,0
274,Hanuman Ganga Hydro (4.95 MW) Plant at Uttarakhand,Regency Aquaelectro & Motelresorts Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,18422,Asia,06-04-20,,,91386.0,01-01-07,27-03-16,3373.0,9.234770705,170122.9459,0.537176214,-0.621429093,VCS,Other Renewable,False,False,True,Small Scale,0,1,,,,,0
298,"Aryan Coal 15 MW Wind Project in Maharashtra, India",ACB (INDIA) LIMITED,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,23816,Asia,06-04-20,28-03-16,27-03-26,125819.0,01-01-07,27-03-16,3373.0,9.234770705,219935.2991,0.572072789,-0.558489042,VCS,Other Renewable,False,False,True,Small Scale,0,0,,,,,0
